DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SUN,31,00003841,NORTH STAR RD & CHAMBERS,3,1,3,39.994282,-83.04872,2055
SUN,3,00002884,NORTHWEST BLVD & NORTH S,2,2,3,39.996843,-83.049173,2056
SUN,11,00006415,S FRONT ST & W MAIN ST,2,1,3,39.955369,-83.001035,2057
SUN,9,00003450,MOUNT VERNON AVE & N GRA,1,2,3,39.96931,-82.992557,2058
SUN,3,00004988,SOUTHWEST BLVD & SHELDON,1,2,3,39.890628,-83.083553,2059
SUN,21,00007707,BRITTON PKWY & CEMETERY,2,1,3,40.032841,-83.131406,2060
SUN,9,00001900,BRENTNELL AVE & WOODWARD,2,2,3,39.992019,-82.949922,2061
SUN,8,00002224,S HIGH ST & W ALCOTT RD,1,2,3,39.905637,-82.995442,2062
SUN,11,00001266,N HIGH ST & GRACELAND BL,3,0,3,40.064641,-83.019446,2063
SUN,9,00002445,W MOUND ST & LARCOMB AVE,3,1,3,39.943107,-83.045473,2064
SUN,6,00001686,CLEVELAND AVE & HOME ACR,3,1,3,40.098346,-82.95013,2065
SUN,21,00003297,HILLIARD ROME & ROBERTS,1,3,3,40.004179,-83.153745,2066
SUN,1,00001910,E LIVINGSTON AVE & S 4TH,2,2,3,39.952682,-82.994108,2067
SUN,24,00003904,S HAMILTON RD & E MOUND,1,2,3,39.951524,-82.877396,2068
SUN,7,00001363,N NELSON RD & AVALON PL,3,0,3,39.981867,-82.943068,2069
SUN,5,00001518,W 5TH AVE & DENNISON AVE,3,0,3,39.987229,-83.008116,2070
SUN,22,00005743,NEIL AVE & W 11TH AVE,3,0,3,39.995937,-83.014654,2071
SUN,2,00003208,E MAIN ST & HAFT DR,3,0,3,39.955262,-82.806414,2072
SUN,8,00005075,RED ROBIN RD & ROCKCASTL,3,1,3,40.06505,-82.972997,2073
SUN,102,00001256,HIGH ST & NEW ENGLAND AV,3,1,3,40.086878,-83.018253,2074
SUN,1,00007157,E LIVINGSTON AVE & CHELS,1,2,3,39.947392,-82.925525,2075
SUN,9,00001850,BRENTNELL AVE & MIDDLEHU,0,3,3,40.006206,-82.948288,2076
SUN,22,00007031,ALUM CREEK DR & WILLIAMS,1,2,3,39.888338,-82.930317,2078
SUN,4,00007564,SINCLAIR RD & DUBLIN GRA,3,0,3,40.087228,-82.997538,2078
SUN,3,00007295,W RICH ST & LUCAS ST,2,2,3,39.955897,-83.010541,2079
SUN,8,00001809,MCGUFFEY RD & WELDON AVE,2,2,3,40.027815,-82.981029,2080
SUN,3,00002999,HARRISBURG PIKE & HYDE R,2,2,3,39.908857,-83.071424,2081
SUN,9,00003730,SAINT CLAIR AVE & GIBBAR,1,2,3,39.984389,-82.979843,2082
SUN,32,00003664,EISENHOWER RD & E NORTH,3,1,3,40.03119,-82.993714,2083
SUN,24,00005016,S HAMILTON RD & EASTLAND,3,0,3,39.921135,-82.880038,2084
SUN,9,00007986,BRIGGS RD & DEMOREST RD,2,1,3,39.9335,-83.089302,2086
SUN,25,00005160,BRICE RD & CENTURY CITY,2,2,3,39.944722,-82.829582,2086
SUN,5,00003239,REFUGEE RD & WEYBURN RD,0,3,3,39.916754,-82.903365,2087
SUN,22,00007887,TOY RD & ALUM CREEK DR,3,0,3,39.85243,-82.937505,2088
SUN,5,00002767,E WHITTIER ST & LILLEY A,2,2,3,39.943133,-82.958773,2089
SUN,33,00007735,W HENDERSON RD & KNIGHTS,1,2,3,40.052608,-83.042116,2090
SUN,8,00007314,KARL RD & FERRIS RD,1,2,3,40.051581,-82.976582,2091
SUN,9,00001885,BRENTNELL AVE & MOCK RD,2,1,3,40.012061,-82.947859,2092
SUN,23,00004845,COURTRIGHT RD & RIVERDAL,0,3,3,39.928902,-82.898422,2093
SUN,31,00007138,NORTH STAR RD & PRESIDEN,0,3,3,39.997276,-83.048522,2094
SUN,9,00003106,E NAGHTEN ST & CLEVELAND,3,0,3,39.968499,-82.990808,2095
SUN,10,00002533,E BROAD ST & N MERKLE RD,3,1,3,39.970838,-82.924803,2096
SUN,5,00005280,4659 TRABUE RD,3,0,3,39.984632,-83.122004,2097
SUN,4,00007301,SUMMIT ST & E 3RD AVE,0,3,3,39.984017,-83.001525,2098
SUN,22,00003574,S OHIO AVE & E SYCAMORE,1,2,3,39.948365,-82.971607,2100
SUN,5,00003587,FREBIS AVE & THELMA B KE,1,2,3,39.934002,-82.952161,2100
SUN,9,00006041,N 4TH ST & E GAY ST,2,2,3,39.963796,-82.99645,2101
SUN,3,00004989,SOUTHWEST BLVD & BROADWA,2,1,3,39.890771,-83.085559,2102
SUN,5,00006997,CHATTERTON RD & FONTAINE,3,0,3,39.914006,-82.852284,2103
SUN,11,00007613,TAYLOR AVE & CLIFTON AVE,2,2,3,39.971228,-82.961425,2104
SUN,8,00002223,S HIGH ST & W CASTLE RD,1,2,3,39.90743,-82.995445,2105
SUN,9,00003176,E 5TH AVE & TAYLOR AVE,0,3,3,39.98523,-82.96058,2106
SUN,7,00001347,E MAIN ST & S 5TH ST,1,2,3,39.956932,-82.992286,2107
SUN,5,00004734,TRABUE RD & MAPLEWAY DR,1,2,3,39.99323,-83.090945,2108
SUN,102,00007476,POLARIS PKWY & AFRICA RD,2,1,3,40.146388,-82.938437,2109
SUN,6,00002829,CLEVELAND AVE & ABBOTT L,2,2,3,39.97511,-82.99012,2111
SUN,5,00003538,FREBIS AVE & FREBIS LN,2,1,3,39.933829,-82.947363,2111
SUN,3,00002851,NORTHWEST BLVD & ZOLLING,3,0,3,40.018381,-83.057492,2112
SUN,9,00004689,MYRTLE AVE & WOODLAND AV,3,0,3,40.016513,-82.950539,2113
SUN,8,00002159,HANFORD ST & BRUCK ST,3,0,3,39.936523,-82.988281,2114
SUN,8,00002816,PARSONS AVE & CORR RD,2,1,3,39.90897,-82.985588,2115
SUN,33,00007182,SAWMILL RD & DUBLIN-GRAN,0,3,3,40.095927,-83.091429,2116
SUN,33,00001265,5211 N HIGH ST,3,0,3,40.068857,-83.019239,2117
SUN,3,00001312,BROADWAY & 1ST AVE,1,2,3,39.899278,-83.07937,2118
SUN,7,00004462,N CASSADY AVE & CASSADY,2,1,3,40.016825,-82.928997,2119
SUN,4,00002118,LOCKBOURNE RD & E MARKIS,0,3,3,39.930507,-82.964783,2120
SUN,11,00002055,E TOWN ST & S WASHINGTON,2,1,3,39.960364,-82.986734,2121
SUN,9,00002437,W MOUND ST & S WAYNE AVE,2,2,3,39.938481,-83.062735,2122
SUN,7,00003155,N CASSADY AVE & CASSADY,1,2,3,40.016816,-82.928951,2123
SUN,1,00003455,GODOWN RD & CHEVIOT DR,3,1,3,40.060267,-83.05126,2124
SUN,3,00006973,COLUMBUS ST & RICHARD AV,1,2,3,39.881475,-83.081221,2125
SUN,3,00002957,HARRISBURG PIKE & RANSBU,2,2,3,39.937491,-83.042216,2126
SUN,9,00002439,W MOUND ST & S HIGHLAND,2,1,3,39.939592,-83.058495,2127
SUN,4,00004632,INDIANOLA AVE & MIDGARD,2,1,3,40.027339,-83.001412,2128
SUN,5,00007392,N WILSON RD & TWIN CREEK,1,2,3,39.979454,-83.102579,2129
SUN,9,00004554,W TOWN ST & DAKOTA AVE,1,2,3,39.955413,-83.027986,2130
SUN,32,00003940,INNIS RD & DERBYSHIRE DR,1,2,3,40.03728,-82.958721,2131
SUN,8,00002212,S 4TH ST & E JENKINS AVE,1,2,3,39.933231,-82.992823,2132
SUN,102,00001255,N HIGH ST & STATE ROUTE,2,1,3,40.089124,-83.018141,2133
SUN,9,00007903,STELZER RD & MORSE RD,0,3,3,40.058162,-82.910284,2134
SUN,11,00004160,E LONG ST & CLEVELAND AV,2,1,3,39.966124,-82.990764,2135
SUN,32,00000281,MORSE CROSSING & EASTON,3,0,3,40.047921,-82.91996,2136
SUN,9,00007205,E SPRING ST & N 4TH ST,1,2,3,39.966524,-82.998082,2137
SUN,9,00001893,BRENTNELL AVE & MIDDLEHU,3,0,3,40.006482,-82.948303,2138
SUN,34,00003961,MORSE RD & ALMONT DR,2,1,3,40.060808,-82.983078,2139
SUN,8,00001739,MCGUFFEY RD & E NORTH BR,1,2,3,40.030131,-82.980733,2140
SUN,22,00001719,E 11TH AVE & N 4TH ST,1,2,3,39.994398,-82.999282,2142
SUN,22,00006314,1900 ALUM CREEK DR,1,2,3,39.930788,-82.940523,2142
SUN,31,00007122,GRANDVIEW AVE & THIRD AV,2,1,3,39.985291,-83.044718,2143
