DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SAT,10,00002480,E BROAD ST & LATTA AVE,4,15,20,39.966502,-82.962854,900
SAT,7,00001631,MOUNT VERNON AVE & N 22N,8,11,20,39.972487,-82.971254,901
SAT,6,00001135,CLEVELAND AVE & E NORTH,15,5,20,40.029148,-82.964268,902
SAT,34,00004907,MORSE RD & SANDY LANE RD,8,12,20,40.061513,-82.992953,903
SAT,6,00006559,COOPER RD & SCHROCK RD,1,19,20,40.111352,-82.942954,904
SAT,31,00001497,E HUDSON ST & SUMMIT ST,10,10,20,40.015132,-83.000941,905
SAT,22,00003752,E 5TH AVE & CLEVELAND AV,16,4,20,39.986362,-82.988376,906
SAT,3,00003006,HARRISBURG PIKE & HOPKIN,17,3,20,39.932304,-83.047951,907
SAT,5,00002771,E WHITTIER ST & OAKWOOD,15,5,20,39.943507,-82.969484,908
SAT,9,00006325,W NATIONWIDE BLVD & N FR,16,4,20,39.968786,-83.002905,909
SAT,6,00004970,SULLIVANT AVE & DERRER R,18,2,20,39.942763,-83.091047,910
SAT,7,00001662,E 5TH AVE & N CASSADY AV,15,5,20,39.985161,-82.931289,911
SAT,102,00005979,N HIGH ST & CAREN AVE,18,2,20,40.10544,-83.017143,912
SAT,32,00006871,EASTON WAY & EASTON SQUA,19,1,20,40.048216,-82.915348,913
SAT,8,00004637,OBETZ RD & SOUTHPOINT BL,3,17,20,39.882145,-82.998224,914
SAT,7,00001659,E 5TH AVE & RARIG AVE,16,3,20,39.984892,-82.923499,915
SAT,5,00004095,N HIGH ST & SPRUCE ST,13,7,20,39.972776,-83.002225,916
SAT,4,00004662,N 4TH ST & E SPRING ST,15,5,19,39.966494,-82.996927,917
SAT,23,00004768,S JAMES RD & DALE AVE,12,8,19,39.964181,-82.914073,918
SAT,102,00001227,N HIGH ST & MEADOWLARK L,4,16,19,40.073419,-83.018852,919
SAT,8,00007255,S 4TH ST & E WOODROW AVE,14,6,19,39.927638,-82.993151,920
SAT,2,00001962,E MAIN ST & SHADY LANE R,5,15,19,39.955256,-82.870928,921
SAT,32,00001123,CLEVELAND AVE & OAKLAND,10,10,19,40.031504,-82.964076,922
SAT,23,00005669,STELZER RD & MCCUTCHEON,4,15,19,40.033904,-82.910063,923
SAT,7,00007205,E SPRING ST & N 4TH ST,2,17,19,39.966706,-82.997802,924
SAT,8,00005743,NEIL AVE & W 11TH AVE,9,11,19,39.995916,-83.014706,925
SAT,6,00001122,CLEVELAND AVE & E NORTH,4,15,19,40.029792,-82.964109,926
SAT,33,00007180,6200 SAWMILL RD,1,18,19,40.091973,-83.091665,927
SAT,8,00001408,NEIL AVE & COLLINS AVE,7,12,19,39.976117,-83.010906,928
SAT,11,00004934,E MAIN ST & HOLTZMAN AVE,11,8,19,39.957407,-82.945363,929
SAT,6,00002703,SULLIVANT AVE & CLARENDO,4,15,19,39.946426,-83.058247,930
SAT,6,00001926,S CLEVELAND AVE & W MAIN,6,13,19,40.123613,-82.948158,931
SAT,8,00002824,PARSONS AVE & E JENKINS,9,10,19,39.933518,-82.983758,932
SAT,102,00001479,N HIGH ST & HIGHLAND AVE,3,16,19,40.105478,-83.016945,933
SAT,3,00002999,HARRISBURG PIKE & HYDE R,15,4,19,39.908843,-83.071429,934
SAT,102,00006279,1481 POLARIS PKWY,3,16,19,40.141172,-82.979765,935
SAT,10,00002479,E BROAD ST & WILSON AVE,6,13,19,39.966185,-82.965733,936
SAT,34,00005956,MORSE RD & HEATON RD,9,10,19,40.060369,-82.968047,937
SAT,5,00006326,N FRONT ST & W SPRING ST,10,9,19,39.9665,-83.003329,938
SAT,6,00003087,CLEVELAND AVE & ABINGTON,3,16,19,40.064441,-82.952551,939
SAT,1,00005218,BETHEL RD & DIERKER RD,15,4,19,40.064227,-83.074344,940
SAT,10,00002645,W BROAD ST & HALDY AVE,6,12,19,39.954771,-83.079213,941
SAT,1,00001998,E LIVINGSTON AVE & RHOAD,8,11,19,39.948704,-82.949014,942
SAT,5,00003942,REFUGEE RD & NOE BIXBY R,1,18,19,39.915164,-82.863983,943
SAT,5,00002775,E WHITTIER ST & HEYL AVE,18,1,19,39.943902,-82.97724,944
SAT,2,00007413,HIGH ST & PRESCOTT ST,10,9,19,39.980233,-83.004108,945
SAT,1,00005781,BETHEL RD & GODOWN RD,4,14,19,40.06372,-83.057663,946
SAT,8,00007083,NATIONWIDE BLVD & MCCONN,9,10,19,39.968252,-83.007868,947
SAT,8,00001708,NEIL AVE & W 5TH AVE,7,12,19,39.987533,-83.013153,948
SAT,6,00003857,CLEVELAND AVE & BROOKLYN,13,6,19,40.061663,-82.952765,949
SAT,1,00001308,N HIGH ST & W RUSSELL ST,10,8,19,39.975357,-83.003002,950
SAT,34,00006873,MORSE CROSSING & SETON S,14,4,19,40.055079,-82.918427,951
SAT,6,00001755,GEORGESVILLE RD & INDUST,1,18,19,39.944917,-83.111367,952
SAT,6,00001146,CLEVELAND AVE & E 26TH A,9,9,19,40.007849,-82.971026,953
SAT,22,00003733,E 5TH AVE & 9TH ST,2,17,19,39.986462,-82.988169,954
